campaign_id,channel,start_date,spend_usd,impressions,clicks,conversions,revenue_usd
C001,google_ads,2026-01-05,5200,412000,9840,312,28900
C002,meta_ads,2026-01-05,4800,680000,8150,198,16200
C003,linkedin,2026-01-12,3100,92000,2150,142,34100
C004,google_ads,2026-02-02,6100,501000,11800,402,38900
C005,meta_ads,2026-02-02,5300,720000,9200,221,18800
C006,email,2026-02-09,800,210000,14500,520,41500
C007,linkedin,2026-02-16,3400,101000,2420,168,41200
C008,tiktok,2026-02-23,2900,1100000,13200,150,9800
C009,google_ads,2026-03-02,6800,540000,12500,445,45100
C010,meta_ads,2026-03-02,5600,745000,9700,236,20900
C011,email,2026-03-09,900,225000,15200,580,47200
C012,tiktok,2026-03-16,3100,1250000,14800,176,11200
C013,linkedin,2026-03-23,3600,108000,2610,185,46800
C014,google_ads,2026-04-01,7100,558000,13200,478,49200
C015,email,2026-04-06,950,232000,15700,615,51100
